account_id,account_name,industry,employee_band,plan,sales_rep,acquisition_channel,close_date,contract_start_date,gross_contract_value_eur,contract_value_eur,discount_pct,discount_anomaly_flag,closed_mrr_eur,sales_fit_score,low_fit_flag,beta_feature_promised,beta_feature_category,product_record_present,onboarding_completed,activation_days,feature_adoption_rate,weekly_active_users,pages_published,ecommerce_enabled,support_ticket_count_90d,support_ticket_count_180d,avg_first_response_hours,avg_support_csat,latest_health_score,avg_nps_6m,avg_csat_6m,churned_90d,churned_180d,churned_12m,churn_reason,revenue_quality_risk_index,revenue_quality_segment
ACC-000001,PossiblePage Account 0001,Real Estate,11-50,Starter,Sales Rep #3,Inbound Demo,2025-06-03,2025-06-12,7885.51,7212.9,0.0853,False,601.07,61.0,False,True,Dynamic forms,True,True,24.0,0.4595,11,9,False,0,2,16.51,4.0,43.5,-13.7,2.6,False,False,False,,39.9,Watchlist
ACC-000002,PossiblePage Account 0002,Software,51-200,Starter,Sales Rep #3,Inbound Demo,2025-12-26,2026-01-25,3660.07,3374.47,0.078,False,281.21,93.8,False,True,CRM sync,True,True,17.0,0.7989,21,19,False,1,1,11.53,3.73,45.4,4.7,3.0,False,False,False,,28.1,Healthy
ACC-000003,PossiblePage Account 0003,Retail,1-10,Scale,Sales Rep #9,Webinar,2025-08-28,2025-09-09,60256.63,60256.63,0.0,True,5021.39,78.4,False,False,,True,True,8.0,0.995,47,18,False,0,0,,,75.5,32.2,4.1,False,False,False,,10.4,Healthy
ACC-000004,PossiblePage Account 0004,Professional Services,51-200,Starter,Sales Rep #1,Paid Search,2025-10-24,2025-11-20,8726.08,7573.55,0.1321,False,631.13,57.8,False,False,,True,True,17.0,0.688,10,17,False,2,4,7.93,3.94,66.3,20.5,4.1,False,False,False,,22.6,Healthy
ACC-000005,PossiblePage Account 0005,Financial Services,201-1000,Scale,Sales Rep #4,Outbound,2025-03-30,2025-04-20,36977.16,31820.31,0.1395,False,2651.69,66.2,False,False,,True,True,12.0,0.5372,28,13,True,0,0,7.28,3.7,70.2,38.8,4.0,False,False,False,,18.7,Healthy
ACC-000006,PossiblePage Account 0006,Retail,51-200,Starter,Sales Rep #4,Inbound Demo,2025-03-23,2025-03-26,4390.59,3606.08,0.1787,True,300.51,52.3,True,True,Dynamic forms,True,True,22.0,0.2858,4,9,False,2,2,17.86,2.85,0.2,-24.8,2.7,False,False,True,Low product fit,51.7,Watchlist
ACC-000007,PossiblePage Account 0007,Software,201-1000,Starter,Sales Rep #4,Referral,2025-10-27,2025-10-27,8881.76,8192.76,0.0776,False,682.73,91.0,False,False,,True,True,9.0,0.8849,13,25,False,1,2,5.66,4.12,79.6,41.5,3.6,False,False,False,,10.5,Healthy
ACC-000008,PossiblePage Account 0008,Healthcare,1-10,Growth,Sales Rep #4,Outbound,2025-04-12,2025-04-19,22201.24,19505.11,0.1214,False,1625.43,93.7,False,False,,False,False,,0.0,0,0,False,1,1,7.98,3.86,14.8,-30.5,2.5,False,False,True,Switched vendor,31.4,Healthy
ACC-000009,PossiblePage Account 0009,Financial Services,201-1000,Growth,Sales Rep #10,Webinar,2025-10-26,2025-11-21,25398.14,23581.68,0.0715,False,1965.14,76.8,False,False,,True,True,15.0,0.8462,29,21,False,0,0,,,86.2,63.3,4.5,False,False,False,,11.9,Healthy
ACC-000010,PossiblePage Account 0010,Software,11-50,Starter,Sales Rep #3,Outbound,2025-05-14,2025-05-17,3863.88,3367.68,0.1284,False,280.64,89.6,False,True,Beta checkout,True,True,25.0,0.734,18,15,False,2,2,14.71,3.1,63.7,14.8,3.3,False,False,False,,31.0,Healthy
ACC-000011,PossiblePage Account 0011,Healthcare,1-10,Starter,Sales Rep #2,Inbound Demo,2025-10-31,2025-11-11,3020.09,2699.51,0.1061,False,224.96,80.3,False,False,,True,True,17.0,0.8226,30,22,False,1,2,11.21,3.3,81.6,51.2,4.1,False,False,False,,13.5,Healthy
ACC-000012,PossiblePage Account 0012,Software,201-1000,Growth,Sales Rep #7,Outbound,2025-11-05,2025-12-03,17151.97,14564.12,0.1509,False,1213.68,83.1,False,True,Advanced integrations,True,True,21.0,0.6912,17,17,False,0,1,12.64,3.27,53.7,1.3,3.4,False,False,False,,28.4,Healthy
ACC-000013,PossiblePage Account 0013,Software,1000+,Growth,Sales Rep #1,Outbound,2025-12-14,2025-12-16,16284.55,13176.7,0.1908,False,1098.06,25.3,True,False,,False,False,,0.0,0,0,False,1,3,17.5,3.52,12.7,-62.7,1.5,False,True,True,Low product fit,61.5,Risky
ACC-000014,PossiblePage Account 0014,Healthcare,11-50,Starter,Sales Rep #4,Partner,2025-03-19,2025-04-01,3624.85,2959.37,0.1836,False,246.61,49.8,True,False,,True,False,42.0,0.25,13,7,False,1,2,22.01,3.17,2.9,-79.3,1.4,True,True,True,Low product fit,54.4,Watchlist
ACC-000015,PossiblePage Account 0015,Real Estate,1-10,Starter,Sales Rep #2,Referral,2025-07-21,2025-08-16,6831.92,6740.93,0.0133,False,561.74,95.1,False,False,,True,True,7.0,0.8893,25,11,False,0,4,6.96,4.23,93.1,72.5,4.5,False,False,False,,5.4,Healthy
ACC-000016,PossiblePage Account 0016,Education,11-50,Enterprise,Sales Rep #6,Partner,2025-03-10,2025-03-13,109682.08,95440.98,0.1298,False,7953.41,53.6,True,False,,True,True,16.0,0.6644,22,14,False,1,4,18.02,2.68,64.2,22.0,3.4,False,False,False,,25.4,Healthy
