health_account_key,month,nps,csat,health_score,churn_flag,churn_reason,customer_success_owner
ACC-000001,2025-01-01,20,2.4,61.8,FALSE,,CS Team A
ACC-000001,2025-02-01,18,2.3,54.4,FALSE,,CS Team B
ACC-000001,2025-03-01,21,4.0,58.1,FALSE,,CS Team B
ACC-000001,2025-04-01,-17,2.5,48.3,FALSE,,Strategic CS
acc-000001,2025-05-01,-39,3.5,51.1,FALSE,,CS Team A
ACC-000001,2025-06-01,18,2.7,56.4,FALSE,,CS Team B
 ACC-000001 ,2025-07-01,-43,2.4,38.1,FALSE,,CS Team A
ACC-000001,2025-08-01,-9,3.0,45.3,FALSE,,CS Team B
ACC-000001,2025-09-01,18,2.7,50.1,FALSE,,CS Team B
ACC-000001,2025-10-01,6,1.7,45.9,FALSE,,CS Team A
 ACC-000001 ,2025-11-01,-42,2.8,44.3,FALSE,,CS Team B
ACC-000001,2025-12-01,-12,3.1,43.5,FALSE,,CS Team A
ACC-000002,2025-01-01,32,4.0,74.7,FALSE,,CS Team A
ACC-000002,2025-02-01,-3,3.7,65.0,FALSE,,CS Team A
ACC 000002,2025-03-01,46,4.2,69.4,FALSE,,CS Team B
acc-000002,2025-04-01,48,3.0,64.2,FALSE,,CS Team B
acc-000002,2025-05-01,22,3.1,65.4,FALSE,,CS Team A
ACC-000002,2025-06-01,11,3.3,57.2,FALSE,,CS Team A
ACC 000002,2025-07-01,11,3.7,58.3,FALSE,,Strategic CS
acc-000002,2025-08-01,8,3.4,55.2,FALSE,,CS Team B
ACC 000002,2025-09-01,18,2.2,54.4,FALSE,,CS Team B
acc-000002,2025-10-01,20,3.0,63.4,FALSE,,CS Team C
ACC 000002,2025-11-01,-21,3.5,52.8,FALSE,,CS Team B
 ACC-000002 ,2025-12-01,-8,2.4,45.4,FALSE,,Strategic CS
ACC 000003,2025-01-01,73,4.0,73.6,FALSE,,Strategic CS
acc-000003,2025-02-01,38,4.1,68.3,FALSE,,CS Team B
 ACC-000003 ,2025-03-01,70,4.3,69.5,FALSE,,CS Team A
acc-000003,2025-04-01,48,4.6,72.0,FALSE,,CS Team C
ACC-000003,2025-05-01,-3,4.3,76.2,FALSE,,CS Team A
ACC-000003,2025-06-01,65,3.8,62.4,FALSE,,CS Team A
ACC-000003,2025-07-01,39,4.6,72.1,FALSE,,CS Team A
ACC-000003,2025-08-01,60,4.0,76.7,FALSE,,CS Team B
ACC-000003,2025-09-01,-6,4.5,66.7,FALSE,,CS Team C
ACC-000003,2025-10-01,4,4.5,78.6,FALSE,,CS Team B
ACC 000003,2025-11-01,49,3.2,71.1,FALSE,,CS Team A
ACC-000003,2025-12-01,47,4.0,75.5,FALSE,,Strategic CS
 ACC-000004 ,2025-01-01,70,3.5,68.4,FALSE,,CS Team C
acc-000004,2025-02-01,-2,3.9,61.7,FALSE,,Strategic CS
acc-000004,2025-03-01,25,4.0,74.5,FALSE,,Strategic CS
ACC-000004,2025-04-01,40,3.5,65.6,FALSE,,CS Team C
ACC 000004,2025-05-01,34,3.9,72.4,FALSE,,Strategic CS
 ACC-000004 ,2025-06-01,49,3.4,70.8,FALSE,,CS Team B
acc-000004,2025-07-01,41,3.9,64.7,FALSE,,CS Team C
ACC-000004,2025-08-01,19,4.3,66.4,FALSE,,CS Team C
 ACC-000004 ,2025-09-01,0,4.1,72.1,FALSE,,CS Team A
acc-000004,2025-10-01,16,4.0,67.5,FALSE,,CS Team A
ACC-000004,2025-11-01,31,4.3,78.3,FALSE,,CS Team A
ACC 000004,2025-12-01,16,4.1,66.3,FALSE,,CS Team A
 ACC-000005 ,2025-01-01,38,2.8,66.3,FALSE,,CS Team B
ACC-000005,2025-02-01,52,3.9,79.6,FALSE,,CS Team A
ACC-000005,2025-03-01,4,4.4,73.9,FALSE,,CS Team B
ACC-000005,2025-04-01,58,3.9,81.1,FALSE,,CS Team A
ACC-000005,2025-05-01,0,4.0,70.6,FALSE,,CS Team A
ACC-000005,2025-06-01,59,3.8,78.1,FALSE,,CS Team B
ACC-000005,2025-07-01,31,3.9,68.6,FALSE,,CS Team B
 ACC-000005 ,2025-08-01,69,4.4,73.1,FALSE,,CS Team B
ACC-000005,2025-09-01,94,3.3,76.9,FALSE,,CS Team A
ACC-000005,2025-10-01,18,4.3,84.5,FALSE,,CS Team C
ACC-000005,2025-11-01,1,4.2,72.9,FALSE,,CS Team C
ACC-000005,2025-12-01,20,3.8,70.2,FALSE,,Strategic CS
ACC-000006,2025-01-01,30,3.7,65.1,FALSE,,Strategic CS
ACC 000006,2025-02-01,59,3.7,77.4,FALSE,,CS Team B
 ACC-000006 ,2025-03-01,-20,3.5,58.6,FALSE,,CS Team A
ACC-000006,2025-04-01,-17,4.5,60.6,FALSE,,CS Team B
ACC 000006,2025-05-01,35,2.7,63.6,FALSE,,CS Team A
ACC-000006,2025-06-01,-22,3.3,52.0,FALSE,,CS Team A
ACC-000006,2025-07-01,-15,3.2,61.6,FALSE,,CS Team B
ACC 000006,2025-08-01,20,3.5,56.1,FALSE,,CS Team B
ACC-000006,2025-09-01,-11,3.2,52.8,FALSE,,CS Team B
ACC-000006,2025-10-01,18,2.8,56.3,TRUE,Low product fit,CS Team B
ACC-000006,2025-11-01,-62,1.8,8.9,FALSE,,CS Team B
ACC-000006,2025-12-01,-99,1.5,0.2,FALSE,,CS Team B
ACC-000007,2025-01-01,31,4.2,74.5,FALSE,,CS Team C
ACC-000007,2025-02-01,42,4.3,74.7,FALSE,,CS Team C
ACC-000007,2025-03-01,74,4.2,85.0,FALSE,,CS Team A
ACC 000007,2025-04-01,0,3.4,73.8,FALSE,,CS Team C
ACC-000007,2025-05-01,6,4.1,82.7,FALSE,,CS Team B
acc-000007,2025-06-01,6,4.0,75.0,FALSE,,CS Team A
 ACC-000007 ,2025-07-01,55,3.5,71.4,FALSE,,CS Team C
ACC-000007,2025-08-01,36,3.4,74.2,FALSE,,CS Team A
acc-000007,2025-09-01,35,3.2,69.1,FALSE,,Strategic CS
 ACC-000007 ,2025-10-01,49,3.4,75.9,FALSE,,CS Team A
ACC 000007,2025-11-01,45,3.9,77.8,FALSE,,CS Team B
ACC-000007,2025-12-01,29,4.2,79.6,FALSE,,Strategic CS
ACC-000008,2025-01-01,12,4.0,64.5,FALSE,,CS Team A
acc-000008,2025-02-01,50,3.5,75.5,FALSE,,CS Team C
ACC-000008,2025-03-01,39,4.3,76.8,FALSE,,Strategic CS
ACC-000008,2025-04-01,29,3.3,69.1,FALSE,,CS Team B
ACC-000008,2025-05-01,74,3.8,79.7,FALSE,,Strategic CS
ACC 000008,2025-06-01,27,4.0,73.2,FALSE,,CS Team A
 ACC-000008 ,2025-07-01,24,4.1,74.2,FALSE,,CS Team A
acc-000008,2025-08-01,48,4.3,80.8,TRUE,Switched vendor,CS Team B
 ACC-000008 ,2025-09-01,-65,1.7,7.5,FALSE,,CS Team B
 ACC-000008 ,2025-10-01,-91,1,4.8,FALSE,,CS Team B
ACC-000008,2025-11-01,-81,2.1,6.5,FALSE,,CS Team B
acc-000008,2025-12-01,-18,2.1,14.8,FALSE,,CS Team C
ACC-000009,2025-01-01,100,4.3,83.3,FALSE,,CS Team A
ACC 000009,2025-02-01,70,4.9,90.3,FALSE,,CS Team A
acc-000009,2025-03-01,75,4.5,92.1,FALSE,,CS Team A
ACC 000009,2025-04-01,74,5,94.4,FALSE,,CS Team B
ACC-000009,2025-05-01,60,4.8,91.7,FALSE,,CS Team A
ACC-000009,2025-06-01,49,4.2,90.0,FALSE,,CS Team B
ACC-000009,2025-07-01,80,5.0,91.3,FALSE,,CS Team C
ACC 000009,2025-08-01,37,3.8,87.1,FALSE,,CS Team A
ACC-000009,2025-09-01,77,5,87.3,FALSE,,CS Team C
ACC-000009,2025-10-01,68,4.1,89.8,FALSE,,CS Team C
acc-000009,2025-11-01,48,4.2,87.1,FALSE,,CS Team B
ACC-000009,2025-12-01,70,5,86.2,FALSE,,CS Team A
ACC-000010,2025-01-01,23,4.1,74.2,FALSE,,CS Team C
 ACC-000010 ,2025-02-01,71,3.7,76.4,FALSE,,CS Team B
acc-000010,2025-03-01,22,4.4,78.3,FALSE,,CS Team A
ACC 000010,2025-04-01,55,3.3,72.9,FALSE,,CS Team B
 ACC-000010 ,2025-05-01,19,3.3,55.3,FALSE,,CS Team A
ACC-000010,2025-06-01,68,4.7,75.2,FALSE,,CS Team C
ACC-000010,2025-07-01,32,3.6,67.8,FALSE,,CS Team A
ACC-000010,2025-08-01,3,3.5,67.9,FALSE,,CS Team C
acc-000010,2025-09-01,36,3.5,64.3,FALSE,,CS Team B
acc-000010,2025-10-01,0,3.1,69.1,FALSE,,CS Team B
ACC-000010,2025-11-01,15,2.6,57.6,FALSE,,CS Team C
ACC-000010,2025-12-01,3,3.6,63.7,FALSE,,CS Team C
ACC-000011,2025-01-01,49,3.6,79.5,FALSE,,CS Team B
ACC-000011,2025-02-01,44,4.5,73.2,FALSE,,CS Team C
ACC 000011,2025-03-01,70,4.8,77.8,FALSE,,CS Team C
ACC-000011,2025-04-01,58,3.8,79.5,FALSE,,CS Team A
ACC-000011,2025-05-01,85,4.0,80.0,FALSE,,CS Team B
ACC-000011,2025-06-01,64,4.0,79.0,FALSE,,CS Team B
acc-000011,2025-07-01,39,3.7,79.4,FALSE,,CS Team B
ACC-000011,2025-08-01,60,4.4,85.1,FALSE,,CS Team B
 ACC-000011 ,2025-09-01,34,4.5,78.6,FALSE,,CS Team B
ACC-000011,2025-10-01,57,4.1,85.4,FALSE,,CS Team A
 ACC-000011 ,2025-11-01,63,4.0,78.1,FALSE,,CS Team C
ACC-000011,2025-12-01,54,4.1,81.6,FALSE,,CS Team B
ACC-000012,2025-01-01,-4,2.9,51.3,FALSE,,CS Team B
ACC 000012,2025-02-01,-48,2.8,55.7,FALSE,,CS Team A
ACC-000012,2025-03-01,46,3.5,64.7,FALSE,,CS Team C
ACC-000012,2025-04-01,-26,3.1,58.7,FALSE,,CS Team B
ACC-000012,2025-05-01,-2,2.8,56.3,FALSE,,CS Team C
acc-000012,2025-06-01,-12,3.4,60.3,FALSE,,CS Team A
ACC-000012,2025-07-01,3,2.5,52.6,FALSE,,CS Team B
ACC-000012,2025-08-01,8,3.9,60.8,FALSE,,CS Team B
 ACC-000012 ,2025-09-01,24,3.4,58.9,FALSE,,CS Team B
 ACC-000012 ,2025-10-01,1,2.9,49.1,FALSE,,CS Team B
