deal_id,crm_account_key,account_name,record_type,correction_reason,close_date,contract_start_date,industry,employee_band,region,plan,sales_rep,acquisition_channel,gross_contract_value_eur,contract_value_eur,discount_pct,closed_mrr_eur,sales_fit_score,beta_feature_promised,beta_feature_category
DEAL-000001-00,ACC 000001,PossiblePage Account 0001,Original,,2025-06-03,2025-06-12,Real Estate,11-50,Spain,Starter,Giulia Neri,Inbound Demo,7885.51,7212.9,0.0853,601.07,61.0,TRUE,Dynamic forms
DEAL-000002-00, ACC-000002 ,PossiblePage Account 0002,Original,,2025-12-26,2026-01-25,Software,51-200,Italy,Starter,Giulia Neri,Inbound Demo,3660.07,3374.47,0.078,281.21,93.8,TRUE,CRM sync
DEAL-000003-00, ACC-000003 ,PossiblePage Account 0003,Original,,2025-08-15,2025-09-09,Retail,1-10,Italy,Scale,Riccardo Leone,Webinar,60910.35,52965.92,0.1304,4413.83,78.4,FALSE,
DEAL-000003-01,ACC 000003,PossiblePage Account 0003,Correction,SalesOps value correction,2025-08-28,2025-09-09,Retail,1-10,Italy,Scale,Riccardo Leone,Webinar,60256.63,64682.58,-0.1203,5390.21,78.4,FALSE,
DEAL-000004-00,ACC-000004,PossiblePage Account 0004,Original,,2025-10-24,2025-11-20,Professional Services,51-200,Netherlands,Starter,Arianna Galli,Paid Search,8726.08,7573.55,0.1321,631.13,57.8,FALSE,
DEAL-000005-00,ACC-000005,PossiblePage Account 0005,Original,,2025-03-30,2025-04-20,Financial Services,201-1000,Nordics,Scale,Luca Serra,Outbound,36977.16,31820.31,0.1395,2651.69,66.2,FALSE,
DEAL-000006-00,ACC-000006,PossiblePage Account 0006,Original,,2025-03-12,2025-03-26,Retail,51-200,Italy,Starter,Luca Serra,Inbound Demo,4470.59,3541.09,0.2079,295.09,52.3,TRUE,Dynamic forms
DEAL-000006-01,ACC-000006,PossiblePage Account 0006,Correction,SalesOps value correction,2025-03-23,2025-03-26,Retail,51-200,Italy,Starter,Luca Serra,Inbound Demo,4390.59,3606.08,0.2465,300.51,52.3,TRUE,Dynamic forms
DEAL-000007-00,acc-000007,PossiblePage Account 0007,Original,,2025-10-27,2025-10-27,Software,201-1000,Italy,Starter,Luca Serra,Referral,8881.76,8192.76,0.0776,682.73,91.0,FALSE,
DEAL-000008-00,ACC-000008,PossiblePage Account 0008,Original,,2025-04-12,2025-04-19,Healthcare,1-10,Germany,Growth,Luca Serra,Outbound,22201.24,19505.11,0.1214,1625.43,93.7,FALSE,
