ticket_id,support_account_key,created_date,ticket_category,priority,first_response_hours,resolution_hours,support_csat,channel
TKT-000001,ACC-000001,2025-11-23,Beta feature,High,22.1,67.65,4.8,Email
TKT-000002,ACC 000001,2026-01-18,Billing,Low,5.33,22.74,3.8,Email
TKT-000003, ACC-000001 ,2025-12-02,Beta feature,High,22.09,53.58,3.4,Help Center
TKT-000004,ACC-000002,2026-12-30,Billing,Medium,11.67,66.96,3.0,Email
TKT-000005,ACC-000002,2026-11-02,Beta feature,Medium,12.49,37.28,5,Phone
TKT-000006, ACC-000002 ,2026-03-06,Performance,High,10.44,55.07,3.2,Email
TKT-000007, ACC-000004 ,2026-02-11,Billing,Low,11.26,35.58,5,Email
TKT-000008, ACC-000004 ,2026-01-15,Performance,Medium,1.24,34.53,3.6,Email
TKT-000009,acc-000004,2026-07-28,Billing,Medium,8.74,50.32,3.6,Chat
TKT-000010,ACC 000004,2026-04-23,Onboarding,Medium,2.0,36.1,4.7,Phone
TKT-000011,acc-000004,2026-09-29,Onboarding,Low,8.94,27.2,3.7,Phone
TKT-000012,ACC-000004,2026-03-09,Billing,Medium,10.76,50.1,3.9,Help Center
TKT-000013,ACC 000004,2026-05-28,Integration,Medium,12.59,47.33,3.1,Email
TKT-000014,ACC 000005,2026-03-20,Performance,Low,7.28,33.55,3.7,Help Center
TKT-000015,acc-000006,2025-04-08,Integration,Medium,15.88,26.84,2.3,Phone
TKT-000016,acc-000006,2025-06-09,Onboarding,Medium,19.83,78.76,3.4,Email
TKT-000017,ACC-000007,2025-12-04,Billing,Low,5.98,27.39,2.7,Chat
TKT-000018,ACC 000007,2026-02-17,Billing,Medium,0.55,11.46,4.3,Email
TKT-000019,ACC-000007,2026-04-30,Onboarding,Medium,10.29,31.34,4.5,Phone
TKT-000020,ACC-000007,2026-06-01,Integration,Medium,5.83,25.05,5,Help Center
TKT-000021,ACC-000008,2025-10-22,Performance,High,10.85,35.86,3.0,Email
TKT-000022,acc-000008,2025-12-20,Bug,Medium,0.2,16.64,4.2,Help Center
TKT-000023,acc-000008,2025-10-24,Onboarding,Low,9.66,80.37,3.3,Email
TKT-000024,ACC-000008,2026-03-05,Onboarding,Medium,12.13,28.66,5.0,Phone
TKT-000025,ACC-000008,2025-06-15,Onboarding,Medium,7.05,22.4,3.8,Email
TKT-000026,ACC-000010,2025-07-14,Beta feature,Low,8.23,27.43,4.2,Chat
TKT-000027,ACC 000010,2025-06-02,Onboarding,High,21.18,66.27,2.0,Email
TKT-000028,ACC-000011,2026-05-02,Bug,High,11.66,49.68,1.6,Email
TKT-000029,ACC 000011,2026-02-06,Billing,Medium,10.76,41.22,5,Chat
TKT-000030,acc-000012,2026-04-25,Billing,Medium,7.22,32.59,3.9,Help Center
TKT-000031,ACC-000012,2026-08-09,Beta feature,High,17.09,45.98,3.5,Phone
TKT-000032,ACC-000012,2026-09-03,Performance,Low,14.63,32.18,3.9,Email
TKT-000033,ACC-000012,2026-11-03,Bug,Medium,11.64,23.48,1.8,Chat
TKT-000034,acc-000013,2026-06-14,Beta feature,Urgent,16.66,52.68,3.3,Help Center
